model,horizon,MAE,RMSE
B3_reduced_HMM_features_threshold_tuned,13,51.75835037231445,67.51745651010374
B3_reduced_HMM_features_threshold_tuned,14,47.782535552978516,62.05370146280055
B3_reduced_HMM_features_threshold_tuned,15,61.92586898803711,77.40160714780087
B3_reduced_HMM_features_threshold_tuned,16,41.54816818237305,54.48029496122887
B3_reduced_HMM_features_threshold_tuned,17,47.676387786865234,62.24677608368565
B3_reduced_HMM_features_threshold_tuned,18,48.89699935913086,62.13181787915713
B3_reduced_HMM_features_threshold_tuned,19,61.16012954711914,79.76641007204255
B3_reduced_HMM_features_threshold_tuned,20,48.89998245239258,65.82140624091261
B3_reduced_HMM_features_threshold_tuned,21,35.45509719848633,45.87841118959167
B3_reduced_HMM_features_threshold_tuned,22,27.761404037475586,35.71875341754139
B3_reduced_HMM_features_threshold_tuned,23,46.10868453979492,61.584965761235104
B3_reduced_HMM_features_threshold_tuned,24,34.38095474243164,44.46774391650017
B5_LightGBM_deep_residual_threshold_tuned,1,13.471092741959355,17.74760757187144
B5_LightGBM_deep_residual_threshold_tuned,2,18.780334101413885,24.51233049212204
B5_LightGBM_deep_residual_threshold_tuned,3,22.60973477180407,29.797542175151776
B5_LightGBM_deep_residual_threshold_tuned,4,25.858621565071527,34.2592741030777
B5_LightGBM_deep_residual_threshold_tuned,5,28.92689412149025,38.24542645995806
B5_LightGBM_deep_residual_threshold_tuned,6,31.85904007813517,41.96407632721802
B5_LightGBM_deep_residual_threshold_tuned,7,34.4471934598765,45.13756160779358
B5_LightGBM_deep_residual_threshold_tuned,8,36.13229523591261,47.26215653453967
B5_LightGBM_deep_residual_threshold_tuned,9,37.18700544050715,47.9881656460831
B5_LightGBM_deep_residual_threshold_tuned,10,37.50235056759312,48.372005237120504
B5_LightGBM_deep_residual_threshold_tuned,11,37.705400816450215,48.997730951233855
B5_LightGBM_deep_residual_threshold_tuned,12,38.01063973579584,49.524856065414205
B5_LightGBM_deep_residual_threshold_tuned,13,38.97780485861662,50.49341913950306
B5_LightGBM_deep_residual_threshold_tuned,14,38.77286836754365,50.421152001709615
B5_LightGBM_deep_residual_threshold_tuned,15,38.05469517564418,49.33282963783545
B5_LightGBM_deep_residual_threshold_tuned,16,37.74396349996664,48.82724112184356
B5_LightGBM_deep_residual_threshold_tuned,17,36.37149982237074,47.04606291561619
B5_LightGBM_deep_residual_threshold_tuned,18,34.11383433034098,44.477392809648336
B5_LightGBM_deep_residual_threshold_tuned,19,31.752903981428272,41.75575373329036
B5_LightGBM_deep_residual_threshold_tuned,20,29.29502030808,38.53438455613368
B5_LightGBM_deep_residual_threshold_tuned,21,27.299646788031893,35.87493009042057
B5_LightGBM_deep_residual_threshold_tuned,22,25.341577248520082,33.39487479835266
B5_LightGBM_deep_residual_threshold_tuned,23,22.546767205074104,30.24608850881137
B5_LightGBM_deep_residual_threshold_tuned,24,21.709628140581504,29.27241045780819
